INSTNM,CITY,STABBR,ZIP,CONTROL,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,REGION,TUITION_DIFF
Pennsylvania State University-Penn State York,York,PA,17403-3326,1,0.825,1161,14460,22378,899,2,7918
University of Pennsylvania,Philadelphia,PA,19104-6303,2,0.093,1506,53534,53534,10660,2,0
Jefferson (Philadelphia University + Thomas Jefferson University),Philadelphia,PA,19144-5497,2,0.5966,1136,39280,39280,2669,2,0
Cairn University-Langhorne,Langhorne,PA,19047-2990,2,0.9855,1046,26493,26493,757,2,0
University of the Sciences,Philadelphia,PA,19104-4495,2,0.6076,1227,39994,39994,1268,2,0
University of Pittsburgh-Bradford,Bradford,PA,16701,1,0.5436,1077,13900,25144,1296,2,11244
University of Pittsburgh-Greensburg,Greensburg,PA,15601-5860,1,0.7327,1101,13870,25114,1521,2,11244
University of Pittsburgh-Johnstown,Johnstown,PA,15904,1,0.7598,1105,13876,25120,2776,2,11244
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,15260,1,0.5971,1349,19080,30642,19134,2,11562
University of Pittsburgh-Titusville,Titusville,PA,16354,1,0.6311,955,11788,21532,292,2,9744
Point Park University,Pittsburgh,PA,15222-1984,2,0.6486,1091,30130,30130,3230,2,0
Reading Hospital School of Health Sciences,Reading,PA,19611,2,0.2679,989,10095,10095,288,2,0
Robert Morris University,Moon Township,PA,15108-1189,2,0.8332,1127,29420,29420,4213,2,0
Rosemont College,Rosemont,PA,19010-1699,2,0.6961,993,19486,19486,609,2,0
Saint Francis University,Loretto,PA,15940,2,0.7574,1147,35066,35066,1676,2,0
Saint Joseph's University,Philadelphia,PA,19131-1395,2,0.7718,1209,43880,43880,5040,2,0
Saint Vincent College,Latrobe,PA,15650-2690,2,0.6193,1122,34430,34430,1616,2,0
University of Scranton,Scranton,PA,18510-4699,2,0.7479,1198,43310,43310,3695,2,0
Shippensburg University of Pennsylvania,Shippensburg,PA,17257-2299,1,0.8355,1049,12086,20186,5464,2,8100
Slippery Rock University of Pennsylvania,Slippery Rock,PA,16057-1383,1,0.7149,1081,10205,14193,7539,2,3988
Swarthmore College,Swarthmore,PA,19081,2,0.107,1473,50822,50822,1565,2,0
Thiel College,Greenville,PA,16125-2181,2,0.6287,1012,30830,30830,736,2,0
Ursinus College,Collegeville,PA,19426-1000,2,0.7821,1234,50360,50360,1485,2,0
Villanova University,Villanova,PA,19085-1699,2,0.36,1409,51284,51284,6886,2,0
Waynesburg University,Waynesburg,PA,15370-1257,2,0.9534,1065,24010,24010,1371,2,0
West Chester University of Pennsylvania,West Chester,PA,19383,1,0.685,1131,10111,21591,14223,2,11480
Westminster College,New Wilmington,PA,16172,2,0.7248,1124,36276,36276,1174,2,0
Widener University,Chester,PA,19013-5792,2,0.6543,1104,44166,44166,3224,2,0
Wilkes University,Wilkes-Barre,PA,18766,2,0.7531,1137,34896,34896,2379,2,0
Wilson College,Chambersburg,PA,17201-1285,2,0.5877,1032,24452,24452,697,2,0
York College of Pennsylvania,York,PA,17403-3651,2,0.699,1101,19430,19430,4079,2,0
Brown University,Providence,RI,2912,2,0.0849,1494,53419,53419,6670,1,0
Providence College,Providence,RI,02918-0001,2,0.5152,1274,48764,48764,4011,1,0
Rhode Island College,Providence,RI,2908,1,0.7359,984,8776,21289,6900,1,12513
University of Rhode Island,Kingston,RI,2881,1,0.7006,1152,13792,30042,14008,1,16250
Rhode Island School of Design,Providence,RI,02903-2784,2,0.3193,1276,48370,48370,1976,1,0
Anderson University,Anderson,SC,29621-4035,2,0.7907,1149,26970,26970,2776,5,0
Charleston Southern University,Charleston,SC,29406-9121,2,0.5632,1061,24840,24840,3034,5,0
College of Charleston,Charleston,SC,29424-0001,1,0.8045,1176,12422,30810,9599,5,18388
Citadel Military College of South Carolina,Charleston,SC,29409,1,0.8107,1123,12056,33819,2814,5,21763
Claflin University,Orangeburg,SC,29115-4498,2,0.4117,958,16480,16480,1990,5,0
Clemson University,Clemson,SC,29634,1,0.4718,1338,15116,36058,19172,5,20942
Coker College,Hartsville,SC,29550,2,0.617,999,28684,28684,1012,5,0
Columbia International University,Columbia,SC,29203-1513,2,0.2825,1008,22390,22390,491,5,0
Columbia College,Columbia,SC,29203,2,0.8682,1009,19500,19500,1378,5,0
Converse College,Spartanburg,SC,29302-0006,2,0.7126,1112,17680,17680,916,5,0
Erskine College,Due West,SC,29639,2,0.5452,1061,34560,34560,575,5,0
Francis Marion University,Florence,SC,29506,1,0.6005,1003,10742,20918,3079,5,10176
Furman,Greenville,SC,29613-6162,2,0.6118,1319,48348,48348,2728,5,0
Lander University,Greenwood,SC,29649-2099,1,0.4757,1022,11700,21300,2722,5,9600
Limestone College,Gaffney,SC,29340-3799,2,0.5045,1019,25025,25025,2491,5,0
Newberry College,Newberry,SC,29108,2,0.5833,1017,25900,25900,1173,5,0
North Greenville University,Tigerville,SC,29688-1892,2,0.6085,1136,19150,19150,2167,5,0
Presbyterian College,Clinton,SC,29325,2,0.6517,1159,37842,37842,947,5,0
